DATE,FGEXPND
2016-07-01,4154.1
2016-10-01,4179.566
2017-01-01,4195.27
2017-04-01,4202.188
2017-07-01,4261.934
2017-10-01,4327.666
2018-01-01,4409.603
2018-04-01,4469.793
2018-07-01,4524.808
2018-10-01,4593.044
2019-01-01,4690.075
2019-04-01,4737.502
2019-07-01,4786.422
2019-10-01,4818.582
2020-01-01,4903.851
2020-04-01,9107.088
2020-07-01,7205.644
2020-10-01,6026.747
