DATE,CSCICP03USM665S
1960-01-01,101.702825283376
1960-02-01,101.414945584354
1960-03-01,101.166242373775
1960-04-01,101.02905404907
1960-05-01,101.063689847438
1960-06-01,101.161723892077
1960-07-01,101.182432183032
1960-08-01,101.025831341781
1960-09-01,100.7830431095
1960-10-01,100.581454981855
1960-11-01,100.516068236146
1960-12-01,100.539645852496
1961-01-01,100.593896486182
1961-02-01,100.651694077907
1961-03-01,100.728624446742
1961-04-01,100.86466603437
1961-05-01,101.086737872229
1961-06-01,101.312136329856
1961-07-01,101.420357555506
1961-08-01,101.321593298321
1961-09-01,101.142403961162
1961-10-01,101.052520987307
1961-11-01,101.172074328448
1961-12-01,101.38951354806
1962-01-01,101.544721722735
1962-02-01,101.514243465027
1962-03-01,101.358743991255
1962-04-01,101.156095699333
1962-05-01,100.959485962674
1962-06-01,100.802673742245
1962-07-01,100.729913015337
1962-08-01,100.786078689428
1962-09-01,100.922741021205
1962-10-01,101.091140322382
1962-11-01,101.254665009146
1962-12-01,101.369592680891
1963-01-01,101.370705813355
1963-02-01,101.205504468103
1963-03-01,100.982233539972
1963-04-01,100.841189823841
1963-05-01,100.884098662968
1963-06-01,101.021263386642
1963-07-01,101.134821114916
1963-08-01,101.147742677472
1963-09-01,101.116439529209
1963-10-01,101.130112551746
1963-11-01,101.254325567071
1963-12-01,101.429602679062
1964-01-01,101.570925828685
1964-02-01,101.616168252516
1964-03-01,101.608481903649
1964-04-01,101.607190210544
1964-05-01,101.651609607272
1964-06-01,101.71847640931
1964-07-01,101.769643534085
1964-08-01,101.777329816211
1964-09-01,101.765068999983
1964-10-01,101.769318089217
1964-11-01,101.821012782278
1964-12-01,101.910613014812
1965-01-01,102.028524383952
1965-02-01,102.167614033058
1965-03-01,102.297415399857
1965-04-01,102.374178943285
1965-05-01,102.360211165817
1965-06-01,102.296251445995
1965-07-01,102.22771017601
1965-08-01,102.180898854803
1965-09-01,102.143841718162
1965-10-01,102.091154646671
1965-11-01,101.999169902245
1965-12-01,101.876690786368
1966-01-01,101.729768408653
1966-02-01,101.556972840025
1966-03-01,101.369107514571
1966-04-01,101.173386082297
1966-05-01,100.972679017375
1966-06-01,100.772616334539
1966-07-01,100.584902974136
1966-08-01,100.429989805091
1966-09-01,100.327395305445
1966-10-01,100.323410759482
1966-11-01,100.466486786787
1966-12-01,100.684009916297
1967-01-01,100.893642501496
1967-02-01,101.040215534732
1967-03-01,101.140512004522
1967-04-01,101.215650534261
1967-05-01,101.269745584383
1967-06-01,101.29372559457
1967-07-01,101.25948923359
1967-08-01,101.144176687759
1967-09-01,101.012657321883
1967-10-01,100.95299647188
1967-11-01,101.028129058761
1967-12-01,101.155674685427
1968-01-01,101.221423765664
1968-02-01,101.140410614683
1968-03-01,100.979783084757
1968-04-01,100.829264591009
1968-05-01,100.751230516147
1968-06-01,100.720675579013
1968-07-01,100.703247909445
1968-08-01,100.685803985416
1968-09-01,100.693836302595
1968-10-01,100.778211926395
1968-11-01,100.976434801492
1968-12-01,101.197564756038
1969-01-01,101.309115942373
1969-02-01,101.201048196967
1969-03-01,100.959337169893
1969-04-01,100.680147791753
1969-05-01,100.417651020961
1969-06-01,100.169318943396
1969-07-01,99.9147109726818
1969-08-01,99.6400953572275
1969-09-01,99.3693465804251
1969-10-01,99.1446666976238
1969-11-01,99.0034398331377
1969-12-01,98.9090177845676
1970-01-01,98.8217631793276
1970-02-01,98.7232878139398
1970-03-01,98.6335235513142
1970-04-01,98.5907626782152
1970-05-01,98.6229871599647
1970-06-01,98.6721945056186
1970-07-01,98.6586758848274
1970-08-01,98.5283113821059
1970-09-01,98.3625912162343
1970-10-01,98.2808831911237
1970-11-01,98.3780558085161
1970-12-01,98.5780892412389
1971-01-01,98.7869321769821
1971-02-01,98.9424978467435
1971-03-01,99.0558505502547
1971-04-01,99.1477561034927
1971-05-01,99.2274452524408
1971-06-01,99.2928242371241
1971-07-01,99.3341287959449
1971-08-01,99.3518883356
1971-09-01,99.3989645255444
1971-10-01,99.5584052769994
1971-11-01,99.8919820703567
1971-12-01,100.276362722387
1972-01-01,100.543274624569
1972-02-01,100.568864122753
1972-03-01,100.48052464666
1972-04-01,100.447074977157
1972-05-01,100.582866487802
1972-06-01,100.797000579802
1972-07-01,100.947044968514
1972-08-01,100.914407388585
1972-09-01,100.743799002383
1972-10-01,100.478480300057
1972-11-01,100.133477805869
1972-12-01,99.7635111006466
1973-01-01,99.4219849202248
1973-02-01,99.1449454635958
1973-03-01,98.9065961775808
1973-04-01,98.6813996069278
1973-05-01,98.4674890724792
1973-06-01,98.2969276352945
1973-07-01,98.2302945419149
1973-08-01,98.307922573681
1973-09-01,98.3972070509294
1973-10-01,98.3123694810963
1973-11-01,97.9225647613396
1973-12-01,97.434110428242
1974-01-01,97.1354785566586
1974-02-01,97.2409372719053
1974-03-01,97.5443698004333
1974-04-01,97.7656233769574
1974-05-01,97.6988843396191
1974-06-01,97.4432321758383
1974-07-01,97.1316194625454
1974-08-01,96.8487649341736
1974-09-01,96.6050070988456
1974-10-01,96.4042211602151
1974-11-01,96.2726392449475
1974-12-01,96.2446987348191
1975-01-01,96.411281028701
1975-02-01,96.8643088980866
1975-03-01,97.4468210399259
1975-04-01,97.9666894374618
1975-05-01,98.2808524472973
1975-06-01,98.4421916320818
1975-07-01,98.5125767225859
1975-08-01,98.5287344035113
1975-09-01,98.5590711948979
1975-10-01,98.6831292898612
1975-11-01,98.9568632805545
1975-12-01,99.2841955818688
1976-01-01,99.5380658004797
1976-02-01,99.6278817932735
